"date","Pixel15810514","Pixel15810515","Pixel15840512","Pixel15750512","Pixel15780512","Pixel15810512","Pixel15810516","Pixel15750516","Pixel15750515","Pixel15780517","Pixel15750514","Pixel15720513","Pixel15780516","Pixel15780515","Pixel15750513","Pixel15780513","Pixel15810513","Pixel15780514"
"23-Nov-20",0.196563576,0,0.507625128,1.449326544,0.70481784,0.923841576,1.124317728,1.310028432,0.944478216,1.585668144,1.721233776,1.540636368,0.986740896,0.189145752,1.520114064,1.090619544,0.666392112,0.395675664
"24-Nov-20",5.172649032,5.327911368,5.147519232,3.471253392,4.663967016,5.390622144,5.132790696,2.763783936,2.369180736,4.11215652,2.761370472,2.471820288,4.532805216,4.426582224,3.255500784,4.646077032,5.339301816,4.494485016
"25-Nov-20",5.447940576,5.372331264,4.814711448,7.282420632,6.336308232,5.644234296,4.716453192,6.084102624,6.731931936,5.250138768,7.34207868,7.74647928,5.24746656,6.197602992,7.75592136,6.638463744,5.88830208,6.81165648
"26-Nov-20",1.206558192,0.93585072,1.750857168,1.40111052,1.759255176,1.816895496,0.682595808,0.963732456,0.95080296,1.131683976,0.893916168,1.016521896,0.8474334,0.836016744,1.114198488,1.31819844,1.476949104,1.053411384
"27-Nov-20",12.527047632,17.770138272,14.097197064,7.949096928,8.7437532,11.178674688,21.647698392,14.993916024,11.67212676,16.555622568,15.353982936,7.51597524,15.751595016,15.50829936,10.65620256,12.7236228,12.541610232,18.0470724
"28-Nov-20",15.196874136,19.749365328,9.877387752,7.812889344,10.591484064,9.111819504,20.295727728,13.425918096,9.118487832,16.942670352,7.58365488,4.857236616,20.272550592,28.26681804,6.312524568,11.834546328,11.315902224,12.32720088
"29-Nov-20",11.489594592,16.495131984,8.699205984,7.914822936,12.670979256,10.655247336,16.814423568,11.34230412,8.432258976,15.2064972,7.371295824,7.044952512,16.310281992,21.291062592,7.423657896,13.081241016,12.7602024,14.0085876
"30-Nov-20",7.782315024,13.240898616,7.521024216,8.016756528,14.750474448,12.198675144,13.333119384,9.25869012,7.746030096,13.470324048,7.158936744,9.232668408,12.348013392,14.315307144,8.534791224,14.327935704,14.204502576,15.68997432
"01-Dec-20",4.433643216,5.014688736,4.683864,3.06925284,9.246432072,8.051538,2.2469682,5.090689296,1.209377208,3.289981488,1.170641016,0.308037696,1.727466168,3.864859344,2.198303112,9.066156144,5.810950032,4.742904072
"02-Dec-20",25.427292816,27.703605648,30.70661832,23.196410184,27.199227336,26.343380928,30.934905048,28.874668128,25.723963728,33.148035048,24.47828292,22.929049008,28.387859352,27.003098496,22.909509648,23.682110304,25.072983744,25.53469848
"03-Dec-20",9.67546248,17.768404488,19.194395544,10.240074624,9.20085312,12.435821064,18.827137464,12.380239968,10.929120552,16.201602456,9.605694288,5.310066456,17.164740096,17.130945672,8.617059936,7.82336568,10.895065776,10.329864984
"04-Dec-20",1.883553216,2.14621908,1.966641792,0.53592132,1.020008232,1.540911384,1.5979278,1.115485032,0.9244962,2.668332336,0.508364664,0.397023576,1.529764104,0.908182464,0.400486608,0.520517472,1.026938256,0.74983116
"05-Dec-20",12.278367528,13.29321528,12.544864656,12.666665544,13.229483136,12.78741216,13.89379836,8.926323648,8.65181136,7.243057248,9.834978816,9.713825952,10.658302536,10.673357952,12.885672576,12.19558668,12.936188232,10.527362112
"06-Dec-20",5.521187424,6.873558288,4.32614244,8.727045528,6.506846664,4.73443008,9.248454816,13.692894456,15.443804736,12.407734392,9.403469328,10.34301996,10.763113272,8.21528076,8.836459632,6.382920024,4.717921968,7.098221544
"07-Dec-20",1.096291152,1.22404548,1.779486,3.014448888,1.410751992,1.54361076,0.714453528,4.087680456,3.204196584,1.785516672,2.890545672,3.398177496,1.868306112,1.75772112,2.8990152,2.036328432,1.791473496,1.224280992
"08-Dec-20",0.557568096,0.191678664,0.016503744,1.044436368,0.77284464,0.773357472,0.477689808,1.21535316,0.236924328,0.530144112,1.139479824,1.973937576,0.718912128,0.763817568,0.814360488,0.525902112,0.289226328,0.380588568
"09-Dec-20",0.3674232,0.342444816,0.797686536,0.792026904,0.599754312,0.86598828,0.519419928,0.768443592,2.496625368,0.451658112,0,0.98554812,0.892359936,0.3570858,0.550900032,0.32716056,0.304711488,0.518355624
"10-Dec-20",3.020964864,2.366959152,3.423410664,4.896481272,4.55458224,3.956535096,2.488912944,2.891778768,3.742957944,3.102756144,4.111772784,5.16518784,2.5235628,3.048946032,4.081026792,4.539400944,3.530923248,3.442941792
"11-Dec-20",4.162925352,4.639581432,2.548289544,2.352861096,2.552429256,2.771181648,5.042948496,3.683087472,3.496671792,4.195672632,3.060566064,1.758923832,4.638571152,3.949234128,2.929671048,2.648297136,3.506334912,3.630385632
"12-Dec-20",0.955586592,0.823281624,0.931973208,2.52557016,1.234792392,0.962031672,1.003947072,2.667156456,2.94630324,0.75642756,2.251116168,1.408972632,0.845139384,0.684176544,2.143444248,1.375397712,0.936772848,0.911908608
"13-Dec-20",1.247642304,0.8306712,1.291701072,2.790790368,1.945482192,1.112753304,0.429934008,1.92383928,3.86374104,1.211091312,4.225439424,3.87609852,1.418212656,2.018644272,3.736298928,2.286724272,0.963139056,2.241899544
"14-Dec-20",17.896130568,20.872632984,15.622175208,7.655816328,12.353590968,14.470537656,25.069307328,17.02680444,13.199965944,25.26256656,10.85855484,6.616010424,22.818709368,20.0674038,9.113002536,15.08607816,16.319998752,16.20832872
"15-Dec-20",5.586452016,5.077756056,6.363015888,4.889175288,6.198256728,6.905113224,4.517799144,2.587720512,3.462058416,3.121590264,3.635610576,3.564190152,3.80539512,4.564392336,4.286749008,5.228793384,6.153684864,4.89054144
"16-Dec-20",2.15515368,1.996966488,1.98180216,4.305367824,2.97794796,2.095881168,3.053806176,2.868651144,3.607988472,1.592578944,4.139235384,5.080557,1.853465448,2.32918488,4.244020344,2.956982184,2.156159688,2.753664312
"17-Dec-20",0,0,0.71600748,0.798883896,1.148192424,0.768192624,0,0,0,0.017117688,0,0,0,0,0,0,0.974545872,0
"18-Dec-20",36.186761856,38.733587256,26.542164792,21.473444928,25.368344304,26.618805888,41.80850316,35.18552112,30.06295968,43.13281632,25.928132064,20.853229512,41.124361032,36.439141272,24.002958288,31.91080284,31.625739096,33.50887584
"19-Dec-20",0,0,3.556936032,0,0,1.599483312,0.366409104,0,0,0,0,0.028850328,0,0,0,0,0.305159376,0
"20-Dec-20",16.902726168,15.877691736,20.756069184,10.42415928,13.689130776,22.525444512,15.089055072,12.387459744,11.597003448,16.753748424,12.029258256,5.751648912,15.488149176,9.426732312,7.869459624,19.697459232,20.801981448,8.343511824
"21-Dec-20",11.815239432,9.782717952,16.492260936,7.327666992,9.594095712,10.529427768,20.381730072,10.032279264,10.284308904,59.175424584,7.98783732,5.353570464,7.016285424,7.812194112,6.428848032,6.403281936,7.76091528,10.632092712
"22-Dec-20",21.288102144,21.148218144,20.907684792,19.040993208,21.344590176,21.57116604,22.355658528,21.39698268,21.088707456,19.472072136,19.783026696,18.502050888,22.963591584,21.359252928,19.060893048,21.754107,21.374260416,21.118502136
"23-Dec-20",0.024440592,0.063434352,0.171315024,0,0,0,0.242555256,0.542654208,0.17738124,1.906955112,0,0,0.154018824,0,0,0,0,0
"24-Dec-20",34.070385936,35.4781866,38.27816964,22.363280304,27.982832904,31.151724816,34.127214432,28.530615816,26.045030592,32.714146608,23.699541096,18.04061652,32.847310056,33.269476896,22.750817304,31.304984088,31.683208464,32.207579616
